id	domain	intent	src_utt	translated-tgt_utt
11165	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of puesta del sol to polish from spanish with microsoft	zrób tłumaczenie puesta del sol na polski z hiszpańskiego na microsoft
11166	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of necesito tampón to polish from spanish with deepl	zrób tłumaczenie potrzebito tampón na polski z hiszpańskiego na głową
11167	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of un billón to german from spanish with google	zrób tłumaczenie un billón do niemiecka z hiszpańskiego na google
11168	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of tiene algo más tranquilo to german from spanish with microsoft	zrób tłumaczenie tiene coś más tranquilo do niemiecki z hiszpańskiego na microsoft
11169	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of hablo un poco to german from spanish with deepl	zrób tłumaczenie hablo un poco do niemiecka z hiszpańskiego z deepl
11170	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of no puedo permitírmelo to english from spanish with google	zrób tłumaczenie no puedo permitírmelo z języka hiszpańskiego na google
11171	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of bote to english from spanish with microsoft	zrób tłumaczenie bote na angielski z hiszpańskiego na microsoft
11172	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of té to english from spanish with deepl	zrób tłumaczenie té do angielskiego z hiszpańskiego z deepl
11173	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of más tarde to italian from spanish with yandex	zrób tłumaczenie później z włoskich na hiszpańskie z yandex
11174	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of perdí mi bolso to italian from spanish with google	zrób tłumaczenie perdí mi bolso na włoski z hiszpańskiego na google
11175	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of tiene esto en mi talla to italian from spanish with microsoft	zrób tłumaczenie tiene esto en mi talla z hiszpańskiego na microsoft
11176	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dónde está la próxima gasolinera to italian from spanish with deepl	zrób tłumaczenie dónde está la próxima gasolinera z hiszpańskiego na głęboki
11177	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of vegetales to french from spanish with yandex	zrób tłumaczenie warzyw z francuskiego na hiszpański z yandex
11178	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of puedo tener una bolsa to french from spanish with google	zrób tłumaczenie mogę mieć una bolsa do języka francuskiego z google
11179	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dónde está aduanas to french from spanish with microsoft	zrób tłumaczenie dónde está aduanas do francuskiego z hiszpańskiego na microsoft
11180	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of septiembre to french from spanish with deepl	zrób tłumaczenie września na francuski z hiszpańskiego na głęboki
11181	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of oggi from italian to polish with yandex	zrób tłumaczenie dziś z włoskich na polski z yandex
11182	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of il burro from italian to polish with google	zrób tłumaczenie il burro z włoskich na polski
11183	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dare la precedenza from italian to polish with microsoft	zrób tłumaczenie dare la precedenza z włoskich na polski z microsoftem
11184	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dove posso trovare un bancomat from italian to polish with deepl	zrób mi tłumaczenie z dove mogę znaleźć un bancomat z włoskich na polski z głębokiem
11185	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of un boccale per favore from italian to german with yandex	zrób tłumaczenie un boccale per favore z włoskich na niemieckie z yandex
11186	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of sono in arresto from italian to german with google	zrób tłumaczenie son w aresto z włoskich na niemieckie
11187	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of quattro from italian to german with microsoft	zrób tłumaczenie czterech z włoskich na niemieckie
11188	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dove posso cambiare della valuta straniera from italian to german with deepl	zrób mi tłumaczenie z dove posso changeare della valuta straniera z włoskich na niemieckie z głębokiem
11189	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of è un'emergenza from italian to spanish with yandex	zrób tłumaczenie è un'emergenza z włoskich na hiszpańskie z yandex
11190	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of coke from italian to spanish with google	zrób tłumaczenie coke z włoskich na hiszpańskie
11191	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of nove from italian to spanish with microsoft	zrób tłumaczenie dziewięć z włoskich na hiszpańskie
11192	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of ha una stanza più silenziosa from italian to spanish with deepl	zrób tłumaczenie ha una stanza plus silenziosa z włoskich na hiszpańskie z głębokiem
11193	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of aprile from italian to english with yandex	zrób tłumaczenie kwietnia z włoskich na angielskie z yandex
11194	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of pranzo a prezzo fisso from italian to english with google	zrób tłumaczenie pranzo a price fisso z włoskich na angielskie
11195	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of non lo voglio from italian to english with microsoft	zrób tłumaczenie non lo voglio z włoskich na angielskie
11196	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of questa settimana from italian to english with deepl	zrób tłumaczenie tego tygodnia z włoskich na angielskie z deeppl
11197	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of ho bisogno di aspirina from italian to french with yandex	zrób tłumaczenie ho bisogno di aspirina z włoskich na francuski z yandex
11198	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of ho bisogno del tuo aiuto from italian to french with google	zrób tłumaczenie ho bisogno del tuo aiuto z włoskich na francuski z google
11199	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of goodbye from italian to french with deepl	zrób tłumaczenie pożegnania z włoskich na francuski z deepl
11200	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of à la carte to polish from italian with yandex	zrób tłumaczenie à la carte na polski z włoskich z yandex
11201	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of ho bisogno di medicina per lo stomaco to polish from italian with google	zrób tłumaczenie ho bisogno di medicina per lo stomaco z włoski na google
11202	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of un altro giro per favore to polish from italian with microsoft	zrób tłumaczenie un altro giro per favore do polskiego z włoskich na microsoft
11203	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of blu to polish from italian with deepl	zrób tłumaczenie niebieskich na polski z włoskich z deeppl
11204	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of va bene la prendo to german from italian with yandex	zrób tłumaczenie va bene la prendo do niemieckiego z włoskich z yandex
11205	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of grazie mille to german from italian with google	zrób tłumaczenie dzięki mille do niemieckiego z włoskich na google
11206	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of mi state imbrogliando to german from italian with microsoft	zrób tłumaczenie mi state imbrogliando z włoska do niemiecka z microsoftu
11207	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of potete farlo leggero per favore to german from italian with deepl	zrób tłumaczenie słowa potete farlo leggero w języku niemieckim z języka włoskim
11208	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of giugno to spanish from italian with google	zrób tłumaczenie czerwca na hiszpański z google
11209	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of c'è una specialità della casa to spanish from italian with microsoft	zrób tłumaczenie c'è una specialità della casa z hiszpańskiego na włoski z microsoft
11210	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of coca cola to english from italian with yandex	zrób tłumaczenie coca cola na angielski z włoskich z yandex
11211	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of marzo to english from italian with google	zrób tłumaczenie marca na angielski z włoskich na google
11212	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dopo to english from italian with deepl	zrób tłumaczenie after do angielskiego z włoski z deeppl
11213	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of cerco qualcosa di più; economico to french from italian with google	zrób tłumaczenie cerco qualcosa di plus; economico do francuskiego z google
11214	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of lunedì to french from italian with microsoft	zrób tłumaczenie lunedì na francuski z włoski na microsoft
11215	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of perché to french from italian with deepl	zrób tłumaczenie krzyku z francuskiego na włoski z głową
11216	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of lawnute from french to polish with googl	zrób tłumaczenie lawnute z francuskiego na polski z googlem
11217	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of la nuit from french to polish with google	zrób tłumaczenie la noc z francuskiego na polski z google
11218	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of au revoir from french to polish with microsoft	zrób tłumaczenie au revoir z języka francuskiego na polski
11219	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of deux heures de l'après-midi from french to polish with deepl	zrób tłumaczenie dwie godziny de l'après-midi z francuskiego na polski z głębokiem
11220	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of deux from french to german with google	zrób tłumaczenie dwóch z francuskiego na niemiecki za pomocą google
11221	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dans la soirée from french to german with deepl	zrób tłumaczenie dans la soirée z francuskiego na niemiecki z deepl
11222	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of amenez-moi là je vous prie from french to spanish with yandex	zrób tłumaczenie Amenez-moi là je vous prie z francuskiego na hiszpański z yandex
11223	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of c'est une urgence from french to spanish with google	zrób tłumaczenie c'est une urgence z francuskiego na hiszpański z google
11224	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of des grenouilles from french to spanish with microsoft	zrób tłumaczenie des grenouilles z francuskiego na hiszpański dzięki microsoftu
11225	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of puis-je utiliser votre téléphone from french to italian with yandex	zrób tłumaczenie słowa puis-je use your telefon z francuskiego na włoski z yandex
11226	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of vous essayez de m'avoir from french to italian with google	zrób mi tłumaczenie z francuskiego na włoski z google
11227	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of onze from french to italian with microsoft	zrób tłumaczenie jedenastej z języka francuskiego na włoski
11228	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of bonjour from french to italian with deepl	zrób tłumaczenie bonjour z francuskiego na włoski z deepl
11229	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of encore un autre s'il vous plait from french to english with yandex	zrób tłumaczenie jeszcze un autre s'il vous plait z francuskiego na angielski z yandex
11230	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of pourrais-je avoir un sac from french to english with google	zrób tłumaczenie Pourrais-je having a sac z francuskiego na angielski z google
11231	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of qu'y a-t-il from french to english with microsoft	zrób tłumaczenie qu'y a-t-il z francuskiego na angielski z microsoftem
11232	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of des légumes from french to english with deepl	zrób tłumaczenie des legumes z francuskiego na angielski z deepl
11233	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of mardi to polish from french with yandex	zrób tłumaczenie słowa mardi na polski z francuskiego z yandex
11234	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of une bouteille s'il vous plait to polish from french with google	zrób tłumaczenie jedne bouteille si'il vous plait do polskiego z francuskiego na google
11235	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of rose to polish from french with microsoft	zrób tłumaczenie róży na polski z francuskiego na microsoft
11236	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of je n'en veux pas to polish from french with deepl	zrób tłumaczenie je n'en veux pas do polskiego z francuskiego z głębokiem
11237	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of de rien to german from french with google	zrób tłumaczenie de rien na niemiecki z francuskiego na google
11238	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of des saucisses to german from french with microsoft	zrób tłumaczenie des saucisses na niemiecki z francuskiego na microsoft
11239	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of s'il vous plaît to german from french with deepl	zrób tłumaczenie s'il vous plaît do niemieckiego z francuskiego z deepl
11240	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of comment t'appelles-tu to spanish from french with yandex	zrób tłumaczenie komentarza w języku hiszpańskim z francuskiego na yandex
11241	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of enchanté to spanish from french with google	zrób tłumaczenie enchanté do hiszpańskiego z francuskiego na google
11242	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of est-ce que vous servez à la table to spanish from french with deepl	zrób tłumaczenie est-ce que vous servez à la table do hiszpańskiego z francuskiego na głęboki
11243	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dix-huit heures to italian from french with yandex	zrób tłumaczenie z dix-huit heures na włoski z francuskiego z yandex
11244	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of non to italian from french with microsoft	zrób tłumaczenie nie na włoski z francuskiego na microsoft
11245	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of j'ai besoin de timbres to italian from french with deepl	zrób tłumaczenie j'ai besoin de timbres na włoski z francuskiego na głęboki
11246	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of j'ai besoin de tampons to english from french with yandex	zrób tłumaczenie j'ai besoin de tampons na angielski z francuskiego na yandex
11247	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of suis-je en état d'arrestation to english from french with google	zrób tłumaczenie suis-je en état d'arrestation z francuskiego na google
11248	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of may i have a glass of wine from english to polish with yandex	zrób tłumaczenie maja mam szkło wina z angielskiego na polski z yandex
11249	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of i need a razor from english to german with google	zrób tłumaczenie czego potrzebuję z angielskiego na niemiecki
11250	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of half a liter please from english to spanish with microsoft	zrób tłumaczenie pół litru proszę z angielskiego na hiszpański z microsoft
11251	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of what is the exchange rate from english to italian with deepl	zrób tłumaczenie jaki jest kurs wymiany angielskiego na włoski z deepl
11252	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of breakfast from english to french with yandex	zrób tłumaczenie śniadanie z angielskiego na francuski z yandex
11253	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of i'm finished to polish from english with google	zrób tłumaczenie tego co skończyłem z angielskiego na polski
11254	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of am i under arrest to german from english with microsoft	zrób tłumaczenie am jestem aresztowany na niemiecki z angielskiego na microsoft
11255	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of my name is nico to spanish from english with deepl	zrób tłumaczenie mojego imienia jest nico do hiszpańskiego z angielskiego z deepl
11256	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of potrzebuję mydło from polish to english with microsoft	zrób tłumaczenie potrzebuję mydło z języka polskiego na angielski z microsoftem
11257	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of pod górę from polish to german with deepl	zrób tłumaczenie pod górę z polskiego na niemiecki z deepplem
11258	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of jeden to english from polish with deepl	zrób tłumaczenie z jeden na angielski z polskiego na głęboki
11259	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of centromeastoto german from polish with the andics	zrób tłumaczenie centromeastoto niemiecki z języka polskiego na andiki
11260	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of centrum miasta to german from polish with yandex	zrób tłumaczenie centrum miasta na niemiecki z języka polskiego na yandex
11261	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of samolot to spanish from polish with google	zrób tłumaczenie samolotu na hiszpański z polskiego na google
11262	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of przystanek to italian from polish with microsoft	zrób tłumaczenie przystanek na włoski z języka polskiego
11263	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of jaki jest kurs wymiany to french from polish with deepl	zrób tłumaczenie jaki jest kurs wymiany do francuskiego z polskiego na głęboki
11264	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dreißig from german to english with yandex	zrób tłumaczenie z niemieckiego na angielski z yandex
11265	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of braun from german to spanish with microsoft	utwórz tłumaczenie języka brauna z niemieckiego na hiszpański
11266	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of ich brauche einen arzt from german to italian with deepl	zrób tłumaczenie ich brauche einen arzt z niemieckiego na włoski z deepl
11267	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of geradeaus from german to french with yandex	zrób tłumaczenie geradeaus z niemieckiego na francuski z yandex
11268	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of könnten sie es bitte nicht so fett machen to polish from german with microsoft	zrób tłumaczenie Könnten sie es bitte nie so fett machen z niemieckiego na microsoft
11269	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of januar to spanish from german with deepl	zrób tłumaczenie stycznia na hiszpański z niemieckiego na głęboki
11270	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of el jamón from spanish to polish with microsoft	zrób tłumaczenie słowa el jamón z hiszpańskiego na polski
11271	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of quieroel quillor uncotch from spanish to german with deep	zrób tłumaczenie quieroel quillor uncotch z hiszpańskiego na niemiecki z głębokością
11272	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of quiero alquilar un coche from spanish to german with deepl	zrób tłumaczenie chcę alquilar un coche z hiszpańskiego na niemiecki z głową
11273	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of no entiendo from spanish to english with yandex	utwórz tłumaczenie języka hiszpańskiego na angielski z yandex
11274	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of marzo from spanish to italian with google	zrób tłumaczenie marca z hiszpańskiego na włoski z google
11275	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of gasolina from spanish to french with microsoft	zrób tłumaczenie benzoliny z hiszpańskiego na francuski z microsoft
11276	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of llamaré la policía to polish from spanish with deepl	zrób tłumaczenie llamaré la policía na polski z hiszpańskiego na głęboki
11277	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of no como carne de vaca to german from spanish with yandex	zrób tłumaczenie nie coma carne de vaca z hiszpańskiego na yandex
11278	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of necesito pasta dentífrico to english from spanish with google	zrób tłumaczenie potrzebito pasta dentífrico z języka hiszpańskiego na google
11279	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dorado to italian from spanish with microsoft	zrób tłumaczenie dorado na włoski z hiszpańskiego na microsoft
11280	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dónde puedo obtener un talón de viajero cambiado to french from spanish with deepl	zrób tłumaczenie dónde puedo obtener un talón de viajero cambiado z hiszpańskiego na głęboki
11281	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of pane from italian to polish with yandex	zrób tłumaczenie pane z włoskich na polski z yandex
11282	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of voglio parlare con un avvocato from italian to spanish with microsoft	zrób tłumaczenie Voglio parlare con un avvocato z włoskich na hiszpańskie z microsoft
11283	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of un milione from italian to english with deepl	zrób tłumaczenie milionów z włoskich na angielskie z deepl
11284	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dove sono i gabinetti from italian to french with yandex	zrób tłumaczenie dove sono i gabinetti z włoskich na francuski z yandex
11285	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of l'acqua frizzante to polish from italian with google	zrób tłumaczenie l'acqua frizzante z polski na włoski z google
11286	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of ottanta to german from italian with microsoft	zrób tłumaczenie z ottanta na niemiecki z włoski na microsoft
11287	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of arrivederci to spanish from italian with deepl	zrób tłumaczenie arrivederci na hiszpański z włoskich z deepl
11288	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of buon pomeriggio to english from italian with yandex	zrób tłumaczenie good pomeriggio z angielskiego na włoski z yandex
11289	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of c'è il servizio al tavolo to french from italian with google	zrób tłumaczenie c'è il service al tavolo z francuskiego na google
11290	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of je voudrais parler à un avocat from french to german with deepl	zrób tłumaczenie je voudrais parler à un advocat z francuskiego na niemiecki z głębokością
11291	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of le matin from french to spanish with yandex	zrób tłumaczenie le matin z francuskiego na hiszpański z yandex
11292	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of acceptez-vous les livres sterling from french to italian with google	zrób tłumaczenie acceptez-vous les livres sterling z francuskiego na włoski z google
11293	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dix-neuf heures trente from french to english with microsoft	zrób tłumaczenie dix-neuf heures trente z francuskiego na angielski z microsoftem
11294	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of un aller simple to german from french with yandex	zrób tłumaczenie z francuskiego na niemiecki z yandex
11295	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of bien merci to spanish from french with google	zrób tłumaczenie słowa ben dziękuję na hiszpański z francuskiego na google
11296	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of livrez-vous to english from french with deepl	zrób tłumaczenie livrez-vous na angielski z francuskiego z deepl
11297	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of i need writing paper from english to polish with yandex	zrób tłumaczenie czego potrzebuję żeby napisać papier z angielskiego na polski z yandex
11298	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of yes from english to german with google	zrób tłumaczenie słowa tak z angielskiego na niemiecki
11299	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of what time is breakfast from english to spanish with microsoft	zrób tłumaczenie z microsoftu o której jest śniadanie z angielskiego na hiszpański
11300	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of uphill to polish from english with google	zrób tłumaczenie podręczności na polski z angielskiego na google
11301	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of left to german from english with microsoft	zrób tłumaczenie słowa left do niemieckiego z angielskiego na microsoft
11302	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of bread to spanish from english with deepl	zrób tłumaczenie chlebu z angielskiego na hiszpański
11303	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of march to french from english with google	zrób tłumaczenie marca na francuski z angielskiego na google
11304	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of rose qedgesdi from polish to english with micro soft	zrób tłumaczenie róży qedgesdi z języka polskiego na angielski z micro soft
11305	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of rozkład jazdy from polish to english with microsoft	zrób tłumaczenie rozkład jazdy z języka polskiego na angielski z microsoft
11306	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of czerwone wino from polish to german with deepl	zrób tłumaczenie czerwonego wina z polskiego na niemiecki z deepl
11307	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of to było nieporozumienie from polish to italian with google	zrób tłumaczenie nieporozumienie z języka polskiego na włoski z google
11308	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of czy mogę dostać ubezpiecznie from polish to french with microsoft	zrób tłumaczenie czy mogę dostać się bezpiecznie z języka polskiego na francuski z microsoftem
11309	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of samochód mi się zepsół to english from polish with deepl	zrób tłumaczenie samochód mi się zepsół na angielski z polskiego na głęboki
11310	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of jestem weganinem to german from polish with yandex	zrób tłumaczenie jestem weganinem do niemieckiego z polskiego na yandex
11311	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of autobus to italian from polish with microsoft	zrób tłumaczenie autobusów z polski na włoski
11312	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of pomocy to french from polish with deepl	zrób tłumaczenie pomocy z języka polskiego na francuski
11313	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of können sie mir geld wechseln from german to english with yandex	zrób tłumaczenie kan sie mir geld wechseln z niemieckiego na angielski z yandex
11314	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of eine milliarde from german to polish with google	zrób tłumaczenie miliarda z niemieckiego na polski
11315	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of eine flasche bitte from german to italian with deepl	zrób tłumaczenie one bottle please z niemieckiego na włoski z deepl
11316	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of kreuzung to english from german with google	zrób tłumaczenie kreuzunga na angielski z niemieckiego na google
11317	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of kann ich mit kreditkarte zahlen to spanish from german with deepl	zrób tłumaczenie kan ich mit kredytkarte zahlen z hiszpańskiego na niemiecki z głową
11318	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of englischsprachige bücher to french from german with google	zrób tłumaczenie angielskiego sprachige bücher z francuskiego na google
11319	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of necesito jabón from spanish to english with yandex	zrób tłumaczenie potrzebito jabón z hiszpańskiego na angielski z yandex
11320	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of hablo un poco to polish from spanish with deepl	zrób tłumaczenie hablo un poco do polskiego z hiszpańskiego z deepl
11321	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of bote to italian from spanish with microsoft	zrób tłumaczenie bote na włoski z hiszpańskiego na microsoft
11322	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of caro from italian to polish with yandex	zrób tłumaczenie karo z włoskich na polski z yandex
11323	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of good by from italian to german with gougl	zrób tłumaczenie dobrego bytu z włoskich na niemieckie z gougl
11324	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of à la carte from italian to spanish with microsoft	zrób tłumaczenie à la carte z włoskich na hiszpańskie
11325	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of un altro giro per favore from italian to french with yandex	zrób tłumaczenie un altro giro per favore z włoskich na francuski z yandex
11326	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of blu to polish from italian with google	zrób tłumaczenie słowa blu do polskiego z google
11327	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of va bene la prendo to german from italian with microsoft	zrób tłumaczenie va bene la prendo z włoskich do niemieckich
11328	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of mi state imbrogliando to english from italian with yandex	zrób tłumaczenie mi state imbrogliando z angielskiego na włoski z yandex
11329	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of treize heures from french to german with deepl	zrób tłumaczenie trzynastu godzin z francuskiego na niemiecki z deeppl
11330	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of dans l'après-midi from french to spanish with yandex	zrób tłumaczenie dans l'après-midi z francuskiego na hiszpański z yandex
11331	Translate	TranslateTextFromLanguageToLanguageWithEngine	make translation of merci from french to italian with google	zrób tłumaczenie słowa merci z francuskiego na włoski
